,report_date,cookie_id,customer_id,ga_session_id,event_timestamp,search_term,search_result,after_search_click_timestamp,product_name,product_name,product_sku
0,2023-12-06,1221872465.1698997996,20841,1701845396,2023-12-06 00:00:27,Julong,exist search result,,,,
1,2023-12-06,2003998253.1670468441,2216,1701849670,2023-12-06 00:01:19,85415-100-10350-11560,,2023-12-06 00:36:26,Organic Reishi Powder by Biosan,Organic Reishi Powder by Biosan,86536-ZJBIOSAN-11625
2,2023-12-06,2003998253.1670468441,2216,1701849670,2023-12-06 00:01:19,85415-100-10350-11560,,2023-12-06 00:02:04,Gymnema Sylvestre P.E. 25% GA by Gravimetry by Venkatesh Naturals,Gymnema Sylvestre P.E. 25% GA by Gravimetry by Venkatesh Naturals,85415-VENKATESH-11560
3,2023-12-06,1221872465.1698997996,20841,1701845396,2023-12-06 00:10:51,zhongke,no search result,,,,
4,2023-12-06,1527604128.1684221936,1523,1701839784,2023-12-06 00:14:40,22250,exist search result,2023-12-06 00:14:43,Vitamin K1 1% Powder by WanHe,Vitamin K1 1% Powder by WanHe,22250-WANHE-99999
5,2023-12-06,1675025325.1696476725,19645,1701850699,2023-12-06 00:18:48,Chicory root,exist search result,2023-12-06 00:26:08,"Chicory Root, Roasted Powder by American Botanicals","Chicory Root, Roasted Powder by American Botanicals",107707-AMERICANBOTANICALS-11671
6,2023-12-06,1675025325.1696476725,19645,1701850699,2023-12-06 00:18:48,Chicory root,exist search result,2023-12-06 00:25:11,Chicory Root Powder Steam Treated by JK Botanicals,Chicory Root Powder Steam Treated by JK Botanicals,107216-JKBP-12306
7,2023-12-06,1675025325.1696476725,19645,1701850699,2023-12-06 00:18:48,Chicory root,exist search result,2023-12-06 00:25:03,Chicory Root Powder Steam Treated by JK Botanicals,Chicory Root Powder Steam Treated by JK Botanicals,107216-JKBP-12306
8,2023-12-06,1675025325.1696476725,19645,1701850699,2023-12-06 00:18:48,Chicory root,exist search result,2023-12-06 00:31:02,"Chicory Root, Roasted Powder by American Botanicals","Chicory Root, Roasted Powder by American Botanicals",107707-AMERICANBOTANICALS-11671
9,2023-12-06,1675025325.1696476725,19645,1701850699,2023-12-06 00:18:48,Chicory root,exist search result,2023-12-06 00:36:58,"Chicory Root, Unroasted Powder by American Botanicals","Chicory Root, Unroasted Powder by American Botanicals",107756-AMERICANBOTANICALS-11671
10,2023-12-06,227227790.1692579183,(not set),1701850746,2023-12-06 00:19:55,glutathione,exist search result,,,,
11,2023-12-06,227227790.1692579183,(not set),1701850746,2023-12-06 00:20:36,citicoline,no search result,,,,
12,2023-12-06,1221872465.1698997996,20841,1701845396,2023-12-06 00:28:17,Baolai,no search result,,,,
13,2023-12-06,2003998253.1670468441,2216,1701849670,2023-12-06 00:29:41,91000-142-10212-11284,exist search result,,,,
14,2023-12-06,1221872465.1698997996,20841,1701845396,2023-12-06 00:35:35,Rishon,no search result,,,,
15,2023-12-06,2003998253.1670468441,2216,1701849670,2023-12-06 00:36:23,86536-115-10507-11625,exist search result,,,,
16,2023-12-06,1959025388.1699948680,2094,1701852564,2023-12-06 00:49:33,softgel,exist search result,2023-12-06 00:49:51,Krill Oil Softgel 500mg by KS Nutripharma,Krill Oil Softgel 500mg by KS Nutripharma,106916-KINGSCI-10738
17,2023-12-06,1959025388.1699948680,2094,1701852564,2023-12-06 00:49:33,softgel,exist search result,2023-12-06 00:50:10,Krill Oil Softgel 500mg by KS Nutripharma,Krill Oil Softgel 500mg by KS Nutripharma,106916-KINGSCI-10738
18,2023-12-06,1959025388.1699948680,2094,1701852564,2023-12-06 00:49:33,softgel,exist search result,2023-12-06 00:49:36,Krill Oil Softgel 500mg by KS Nutripharma,Krill Oil Softgel 500mg by KS Nutripharma,106916-KINGSCI-10738
19,2023-12-06,1527604128.1684221936,1523,1701852601,2023-12-06 00:50:20,80000,exist search result,,,,
20,2023-12-06,1527604128.1684221936,1523,1701852601,2023-12-06 00:50:42,15650,exist search result,2023-12-06 00:50:45,Potassium Sorbate Granular by Wanglong,Potassium Sorbate Granular by Wanglong,15650-NBWANGLONG-10062
21,2023-12-06,1527604128.1684221936,1523,1701852601,2023-12-06 00:50:42,15650,exist search result,2023-12-06 00:50:45,Potassium Sorbate Granular by Wanglong,Potassium Sorbate Granular by Wanglong,15650-NBWANGLONG-99999
22,2023-12-06,1527604128.1684221936,1523,1701852601,2023-12-06 00:50:42,15650,exist search result,2023-12-06 00:50:44,Potassium Sorbate Granular by Wanglong,Potassium Sorbate Granular by Wanglong,15650-NBWANGLONG-10062
23,2023-12-06,1527604128.1684221936,1523,1701852601,2023-12-06 00:50:42,15650,exist search result,2023-12-06 00:50:44,Potassium Sorbate Granular by Wanglong,Potassium Sorbate Granular by Wanglong,15650-NBWANGLONG-99999
24,2023-12-06,1527604128.1684221936,1523,1701852601,2023-12-06 00:52:35,changmao,exist search result,,,,
25,2023-12-06,850309768.1701793802,9616,1701852694,2023-12-06 00:53:13,L-Aspartic,exist search result,,,,
26,2023-12-06,1527604128.1684221936,1523,1701852601,2023-12-06 00:54:21,innoph,exist search result,,,,
27,2023-12-06,1527604128.1684221936,1523,1701852601,2023-12-06 00:55:07,magnesium citrate,exist search result,2023-12-06 00:55:31,Magnesium Citrate (Mg 30%) by Innophos,Magnesium Citrate (Mg 30%) by Innophos,26814-INNOPHOSLLC-99999
