# ----------------------------------------
# ingredientsonline.com - GA4
# Untitled exploration-Free form 1
# 20231206-20231206
# ----------------------------------------

customerId,ga_session_id,event_timestamp,Event name,event_value,Event count
,,,,,154,Grand total
14499,1701885460,2023/12/06/09/57/40,Event - Menu Click,Branded Ingredients,1
14499,1701885460,2023/12/06/09/57/42,Event - Session Start,https://www.ingredientsonline.com/branded-ingredients/,1
14499,1701885460,2023/12/06/09/57/51,Event - Menu Click,Best Selling Products,1
14499,1701885460,2023/12/06/09/59/15,Event - Menu Click,Promotional Ingredients,1
14499,1701885460,2023/12/06/10/02/06,Event - Product View,Organic Tart Cherry Extract 10:1 by Hunan Huakang ||| 108928-HNHUAKANG-11283,1
14499,1701885460,2023/12/06/10/09/49,Event - Search Result,exist search result,1
14499,1701885460,2023/12/06/10/09/49,Event - Site Search,epimedium,1
14499,1701885460,2023/12/06/10/11/27,Event - After Search Product Click,Epimedium Icariin 10% by Ingredients by Nature,1
14499,1701885460,2023/12/06/10/11/27,Event - Product View,Epimedium Icariin 10% by Ingredients by Nature ||| 106714-000-10481-10281,1
14499,1701885460,2023/12/06/10/13/52,Event - Search Result,exist search result,1
14499,1701885460,2023/12/06/10/13/52,Event - Site Search,selenium,1
14499,1701885460,2023/12/06/10/14/20,Event - After Search Product Click,Selenium Yeast Powder 2000ppm by Angel Yeast,1
14499,1701885460,2023/12/06/10/14/21,Event - Product View,Selenium Yeast Powder 2000ppm by Angel Yeast ||| 43910-ANGEL-11426,1
14499,1701889077,2023/12/06/10/57/59,Event - Session Start,https://www.ingredientsonline.com/catalogsearch/result/?q=selenium,1
14499,1701889077,2023/12/06/10/58/29,Event - After Search Product Click,L-Selenomethionine 5000 DCP (Selenium 0.5%) by Stellence Pharmscience Private Limited,1
14499,1701889077,2023/12/06/10/58/31,Event - Product View,L-Selenomethionine 5000 DCP (Selenium 0.5%) by Stellence Pharmscience Private Limited ||| 69090-STEL,1
14499,1701889077,2023/12/06/10/59/04,Event - After Search Product Click,L-Selenomethionine 5000 MD (Selenium 0.5%) by Novel Nutrientss,1
14499,1701889077,2023/12/06/10/59/05,Event - Product View,L-Selenomethionine 5000 MD (Selenium 0.5%) by Novel Nutrientss ||| 69091-NOVEL-12874,1
14499,1701889077,2023/12/06/11/00/01,Event - After Search Product Click,L-Selenomethionine 5000 DCP (Selenium 0.5%) by Salvi Chemical Industries,1
14499,1701889077,2023/12/06/11/00/02,Event - Product View,L-Selenomethionine 5000 DCP (Selenium 0.5%) by Salvi Chemical Industries ||| 108785-SALVICI-12685,1
14499,1701889077,2023/12/06/11/00/19,Event - After Search Product Click,Selenium Yeast Powder 2000ppm by Angel Yeast,1
14499,1701889077,2023/12/06/11/00/19,Event - Product View,Selenium Yeast Powder 2000ppm by Angel Yeast ||| 43910-ANGEL-11426,1
14499,1701895272,2023/12/06/12/41/12,Event - After Search Product Click,L-Selenomethionine 5000 MD (Selenium 0.5%) by Novel Nutrientss,1
14499,1701895272,2023/12/06/12/41/14,Event - Product View,L-Selenomethionine 5000 MD (Selenium 0.5%) by Novel Nutrientss ||| 69091-NOVEL-12874,1
14499,1701895272,2023/12/06/12/41/56,Event - Session Start,https://www.ingredientsonline.com/factory/novel_nutrients/,1
14499,1701895272,2023/12/06/12/41/56,Event - Visit Factory,Novel Nutrients,1
14499,1701895272,2023/12/06/12/42/30,Event - Factory Product Click,Ashwagandha Extract 10% Withanolides by Gravimetry by Novel Nutrientss,1
14499,1701895272,2023/12/06/12/42/31,Event - Product View,Ashwagandha Extract 10% Withanolides by Gravimetry by Novel Nutrientss ||| 109684-NOVEL-12874,1
14499,1701901610,2023/12/06/14/26/50,Event - Cart Icon Click,click_cart_icon,1
14499,1701901610,2023/12/06/14/26/53,Event - Session Start,https://www.ingredientsonline.com/cart/,1
14499,1701901610,2023/12/06/14/27/25,Event - Search Result,exist search result,1
14499,1701901610,2023/12/06/14/27/25,Event - Site Search,selenium,1
14499,1701901610,2023/12/06/14/27/35,Event - After Search Product Click,L-Selenomethionine 5000 MD (Selenium 0.5%) by Novel Nutrientss,1
14499,1701901610,2023/12/06/14/27/36,Event - Product View,L-Selenomethionine 5000 MD (Selenium 0.5%) by Novel Nutrientss ||| 69091-NOVEL-12874,1
14499,1701901610,2023/12/06/14/28/11,Event - After Search Product Click,L-Selenomethionine 5000 DCP (Selenium 0.5%) by Stellence Pharmscience Private Limited,1
14499,1701901610,2023/12/06/14/28/13,Event - Product View,L-Selenomethionine 5000 DCP (Selenium 0.5%) by Stellence Pharmscience Private Limited ||| 69090-STEL,1
14499,1701901610,2023/12/06/14/28/32,Event - After Search Product Click,Selenium Glycinate by Aobo,1
14499,1701901610,2023/12/06/14/28/33,Event - Product View,Selenium Glycinate by Aobo ||| 106824-AOBO-11080,1
14499,1701901610,2023/12/06/14/29/23,Event - After Search Product Click,L-Selenomethionine 5000 DCP (Selenium 0.5%) by Salvi,1
14499,1701901610,2023/12/06/14/29/24,Event - Product View,L-Selenomethionine 5000 DCP (Selenium 0.5%) by Salvi ||| 69090-SALVICI-99999,1
14499,1701901610,2023/12/06/14/30/38,Event - Search Result,exist search result,1
14499,1701901610,2023/12/06/14/30/38,Event - Site Search,tribulus,1
14499,1701901610,2023/12/06/14/31/31,Event - After Search Product Click,Tribulus Extract 95% Saponins by TRG,1
14499,1701901610,2023/12/06/14/31/32,Event - Product View,Tribulus Extract 95% Saponins by TRG ||| 18912-TRG-11248,1
14499,1701901610,2023/12/06/14/32/34,Event - Search Result,exist search result,1
14499,1701901610,2023/12/06/14/32/34,Event - Site Search,epimedium,1
14499,1701901610,2023/12/06/14/33/17,Event - After Search Product Click,Organic Epimedium Leaf Powder,1
14499,1701901610,2023/12/06/14/33/18,Event - Product View,Organic Epimedium Leaf Powder (BRC Certified Factory) by Qimei ||| 38809-QIMEI-11712,1
14499,1701901610,2023/12/06/14/35/09,Event - Visit Factory,Qimei Industrial Group,1
14499,1701901610,2023/12/06/14/39/55,Event - Factory Product Click,Allulose by Qimei,1
14499,1701901610,2023/12/06/14/39/57,Event - Product View,Allulose by Qimei ||| 108838-QIMEI-11712,1
14499,1701901610,2023/12/06/14/40/32,Event - Visit Factory,Qimei Industrial Group,1
14499,1701901610,2023/12/06/14/42/10,Event - Visit Factory,Qimei Industrial Group,1
14499,1701904533,2023/12/06/15/17/02,Event - Factory Product Click,Organic Red Beet Root Powder by Qimei,1
14499,1701904533,2023/12/06/15/17/03,Event - Product View,Organic Red Beet Root Powder by Qimei ||| 16225-QIMEI-11712,1
14499,1701904533,2023/12/06/15/17/57,Event - Session Start,https://www.ingredientsonline.com/factory/qimei_industrial_group/?page=4&slug=qimei_industrial_group,1
14499,1701904533,2023/12/06/15/17/57,Event - Visit Factory,Qimei Industrial Group,1
14499,1701904533,2023/12/06/15/19/17,Event - Search Result,exist search result,1
14499,1701904533,2023/12/06/15/19/17,Event - Site Search,organic,1
14499,1701904533,2023/12/06/15/21/19,Event - After Search Product Click,Organic Ashwagandha Root Powder by Unicorn,1
